ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,Type de véhicule,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements,Ville du vendeur,Dossier d'images
1,Mini-pelle P14 – 1450 kg NEUVE AVEC GARANTIE 1 AN,96 147 DH,2025-02-28 00:02:32,N/A,N/A,N/A,EUROPELLES,"Engins BTP, à vendre",Sidi Moumen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,1_Mini-pelle_P14_1450_kg_NEUVE_AVEC_GARANTIE_1_AN
2,Hyuandai santafee a louer,Prix non spécifié,2025-02-27 23:57:32,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Anfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,2_Hyuandai_santafee_a_louer
3,Ford Fiesta diwana,72 000 DH,2025-02-27 23:58:32,2008,Diesel,Manuelle,AUTO DOUBLE VOIE ShopBadge Icon,"Voitures d'occasion, à vendre",Toute la ville,200 000 - 249 999,Ford,Fiesta,5,Dédouanée,N/A,6 CV,Bon,"ABS, Airbags, Climatisation, Jantes Aluminium, Verrouillage Centralisé À Distance, Vitres Électriques",Ain Harrouda,3_Ford_Fiesta_diwana
4,Hyundai i10,150 DH,2025-02-27 23:55:33,N/A,N/A,N/A,Eksen Cars OfficeShopBadge Icon,"Voitures de location, à louer",Ain Mezouar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marrakech,4_Hyundai_i10
5,Hyundai Tucson modèle 2022,258 000 DH,2025-02-27 23:59:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,"Voitures d'occasion, à vendre",Ain Sebaa,90 000 - 94 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,5_Hyundai_Tucson_modèle_2022
6,Jeep Cherokee Diesel Night Eagle 2021 1er Main,269 000 DH,2025-02-27 23:58:33,2021,Diesel,Automatique,MehdiShopBadge Icon,"Voitures d'occasion, à vendre",Bourgogne,40 000 - 44 999,Jeep,Cherokee,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,6_Jeep_Cherokee_Diesel_Night_Eagle_2021_1er_Main
7,Clio 4 Essence,83 000 DH,2025-02-27 23:58:33,2012,Diesel,Manuelle,Marrakech ShopBadge Icon,"Voitures d'occasion, à vendre",Hay Targa,150 000 - 159 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Marrakech,7_Clio_4_Essence
8,Hyundai Tucson modèle 2022 toutes options,285 000 DH,2025-02-27 23:57:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,"Voitures d'occasion, à vendre",Ain Sebaa,110 000 - 119 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,8_Hyundai_Tucson_modèle_2022_toutes_options
9,Trottinette électrique,6 200 DH,2025-02-27 23:57:33,6 200,N/A,N/A,highperShopBadge Icon,"Vélos, à vendre",Hay Al Farah,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rabat,9_Trottinette_électrique
10,Hyundai Tucson Diesel Automatique 2022,258 000 DH,2025-02-27 23:56:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,"Voitures d'occasion, à vendre",Ain Sebaa,95 000 - 99 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,10_Hyundai_Tucson_Diesel_Automatique_2022
11,Hyundai Atos,50 000 DH,2025-02-27 23:57:33,2009,Essence,Manuelle,Sara Rachik,"Voitures d'occasion, à vendre",kasbat al mahdia,150 000 - 159 999,Hyundai,Atos,5,WW au Maroc,Non,6 CV,Excellent,"CD/MP3/Bluetooth, Verrouillage Centralisé À Distance",Kénitra,11_Hyundai_Atos
12,Citroën ami pour location,Prix non spécifié,2025-02-27 23:52:34,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Oulfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,12_Citroën_ami_pour_location
13,Mercedes-Benz Classe C Cabriolet Diesel 2016,Prix non spécifié,2025-02-27 23:56:34,2016,Diesel,Automatique,Corniche autoShopBadge Icon,"Voitures d'occasion, à vendre",Anfa,20 000 - 24 999,Mercedes-Benz,Classe C,3,Importée neuve,Oui,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,13_Mercedes-Benz_Classe_C_Cabriolet_Diesel_2016
14,renault clio 4,98 000 DH,2025-02-27 23:57:34,2015,Diesel,Manuelle,Simohammed,"Voitures d'occasion, à vendre",Agdal,85 000 - 89 999,Renault,Clio,5,N/A,Non,6 CV,N/A,N/A,Fès,14_renault_clio_4
15,compas jeep 2008 dewana2016 moteurpassat,Prix non spécifié,2025-02-27 23:56:34,2008,Diesel,Manuelle,Mouhcine Mekano,"Voitures d'occasion, à vendre",Toute la ville,250 000 - 299 999,Jeep,Compass,N/A,Dédouanée,Oui,8 CV,Très bon,"ABS, Airbags, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Sidi Kacem,15_compas_jeep_2008_dewana2016_moteurpassat
16,clio 4 très bon état 3choure 2017,110 000 DH,2025-02-27 23:56:34,2014,Diesel,Manuelle,توفيق,"Voitures d'occasion, à vendre",Centre Ville,200 000 - 249 999,Renault,Clio,5,Dédouanée,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Oujda,16_clio_4_très_bon_état_3choure_2017
17,Jeep Renegade Diesel Automatique 2018 à Rabat,169 000 DH,2025-02-27 23:55:34,2018,Diesel,Automatique,NabilShopBadge Icon,"Voitures d'occasion, à vendre",Autre secteur,100 000 - 109 999,Jeep,Renegade,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Rabat,17_Jeep_Renegade_Diesel_Automatique_2018_à_Rabat
18,Clio 4 modèle 2021,Prix non spécifié,2025-02-27 23:53:34,2021,Diesel,Manuelle,siara occazShopBadge Icon,"Voitures d'occasion, à vendre",Hay Al Falah,90 000 - 94 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Mohammedia,18_Clio_4_modèle_2021
19,Peugeot 208 Diesel Manuelle 2024 à Salé,Prix non spécifié,2025-02-27 23:55:34,20,Diesel,Manuelle,AUTO DAHMANI ShopBadge Icon,"Voitures d'occasion, à vendre",Sala El Jadida,5 000 - 9 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Bon,N/A,Salé,19_Peugeot_208_Diesel_Manuelle_2024_à_Salé
20,Location de voiture aéroport Marrakech,249 DH,2025-02-27 23:51:35,N/A,N/A,N/A,PATH CARShopBadge Icon,"Voitures de location, à louer",Autre secteur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marrakech,20_Location_de_voiture_aéroport_Marrakech
21,Fiat 500 2007 à 2016 Baguette chromée,Prix non spécifié,2025-02-27 23:51:35,N/A,N/A,N/A,France-Pieces-OKAZShopBadge Icon,"Pièces et accessoires pour véhicules, à vendre",Oulfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,21_Fiat_500_2007_à_2016_Baguette_chromée
22,Location de voiture clio 5,Prix non spécifié,2025-02-27 23:49:35,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Anfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,الدار البيضاء,22_Location_de_voiture_clio_5
23,Jacket avec Pantalon MotoCross,2 500 DH,2025-02-27 23:53:35,N/A,N/A,N/A,highperShopBadge Icon,"Pièces et accessoires pour véhicules, à vendre",Quods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Benslimane,23_Jacket_avec_Pantalon_MotoCross
24,New GLC COUPE 300e hybride essence,Prix non spécifié,2025-02-27 23:51:35,20,Hybride,Automatique,C ZAM AUTO oujdaShopBadge Icon,"Voitures d'occasion, à vendre",Hay El Qods,35 000 - 39 999,Mercedes-Benz,Classe GLC,5,Importée neuve,Oui,8 CV,Neuf,N/A,Oujda,24_New_GLC_COUPE_300e_hybride_essence
25,Location de voiture aéroport Marrakech,249 DH,2025-02-27 23:50:35,N/A,N/A,N/A,PATH CARShopBadge Icon,"Voitures de location, à louer",Autre secteur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marrakech,25_Location_de_voiture_aéroport_Marrakech
26,Porsche Cayenne coupé,Prix non spécifié,2025-02-27 23:52:35,2021,Hybride,Automatique,Corniche autoShopBadge Icon,"Voitures d'occasion, à vendre",Anfa,35 000 - 39 999,Porsche,Cayenne,5,Importée neuve,Oui,17 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,26_Porsche_Cayenne_coupé
27,Ford focus automatic,Prix non spécifié,2025-02-27 23:52:35,2021,Diesel,Automatique,2GKRShopBadge Icon,"Voitures d'occasion, à vendre",Hay Al Massar,80 000 - 84 999,Ford,Focus,5,WW au Maroc,Oui,6 CV,Excellent,"Airbags, Climatisation, Jantes Aluminium, Système De Navigation/GPS",Marrakech,27_Ford_focus_automatic
28,Audi A3 Sline 2025,Prix non spécifié,2025-02-27 23:50:35,2025,Diesel,Automatique,PDAShopBadge Icon,"Voitures d'occasion, à vendre",Riviera,0 - 4 999,Audi,A3,5,WW au Maroc,Oui,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,28_Audi_A3_Sline_2025
29,golf 7 n9iya,163 000 DH,2025-02-27 23:50:35,2016,Diesel,Manuelle,reda,"Voitures d'occasion, à vendre",Azli,190 000 - 199 999,Volkswagen,Golf 7,5,WW au Maroc,Oui,6 CV,Excellent,Jantes Aluminium,Marrakech,29_golf_7_n9iya
30,clio classique très bon état,50 000 DH,2025-02-27 23:50:36,2008,Essence,Manuelle,توفيق,"Voitures d'occasion, à vendre",Centre Ville,300 000 - 349 999,Renault,Clio,5,WW au Maroc,Non,7 CV,Très bon,"ABS, CD/MP3/Bluetooth, Climatisation, ESP, Ordinateur De Bord, Verrouillage Centralisé À Distance, Vitres Électriques",Oujda,30_clio_classique_très_bon_état
31,docker rymco c50 2017 ba9a n9ia,Prix non spécifié,2025-02-27 23:50:36,2017,N/A,N/A,Bahi walid,"Motos, à vendre",Ben M'sick,N/A,N/A,N/A,N/A,WW au Maroc,Oui,N/A,Très bon,N/A,Casablanca,31_docker_rymco_c50_2017_ba9a_n9ia
32,Jeep Compass Diesel Manuelle 2020 à Rabat,221 500 DH,2025-02-27 23:50:36,2020,Diesel,Manuelle,Ayoub Fanchakkar,"Voitures d'occasion, à vendre",Hay el Fath,150 000 - 159 999,Jeep,Compass,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Radar De Recul, Régulateur De Vitesse, Vitres Électriques",Rabat,32_Jeep_Compass_Diesel_Manuelle_2020_à_Rabat
33,Kia Sportage Diesel Automatique 2012 à Marrakech,130 000 DH,2025-02-27 23:50:36,2012,Diesel,Automatique,Boucetta,"Voitures d'occasion, à vendre",Allal El Fassi,170 000 - 179 999,Kia,Sportage,5,N/A,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, Jantes Aluminium, Radar De Recul, Sièges Cuir, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Marrakech,33_Kia_Sportage_Diesel_Automatique_2012_à_Marrakech
34,kango modele 2021,150 000 DH,2025-02-27 23:49:36,2021,Diesel,Manuelle,MOHAMED,"Voitures d'occasion, à vendre",Toute la ville,55 000 - 59 999,Renault,Kangoo,N/A,WW au Maroc,N/A,8 CV,N/A,N/A,Souk El Arbaa,34_kango_modele_2021
35,Motocross Automatique 60cc,14 300 DH,2025-02-27 23:48:41,2024,N/A,N/A,highperShopBadge Icon,"Motos, à vendre",Al Boustane,N/A,N/A,N/A,N/A,Importée neuve,Oui,N/A,Neuf,N/A,El Jadida,35_Motocross_Automatique_60cc
36,kIA SELTOS Diesel automatique,198 000 DH,2025-02-27 23:49:41,2022,Diesel,Automatique,Hicham,"Voitures d'occasion, à vendre",Val Fleuri,95 000 - 99 999,Kia,Seltos,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,36_kIA_SELTOS_Diesel_automatique
37,GUANTS MOTOCROSS ET QUAD,300 DH,2025-02-27 23:48:41,N/A,N/A,N/A,highperShopBadge Icon,"Pièces et accessoires pour véhicules, à vendre",Fes Jdid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fès,37_GUANTS_MOTOCROSS_ET_QUAD
38,mini chargeur,Prix non spécifié,2025-02-27 23:47:42,N/A,N/A,N/A,Maroc matérielShopBadge Icon,"Engins BTP, à vendre",2 Mars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,38_mini_chargeur
39,Location de voitures,Prix non spécifié,2025-02-27 23:43:42,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Bourgogne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,39_Location_de_voitures
40,Location de Megane,Prix non spécifié,2025-02-27 23:43:42,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Anfa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,الدار البيضاء,40_Location_de_Megane
41,bikane saprnik x,9 500 DH,2025-02-27 23:48:42,2024,N/A,N/A,Adari Nabil,"Motos, à vendre",El Qaria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Très bon,ABS/CBS,Salé,41_bikane_saprnik_x
42,"MINI PELLE NEUV 1,9T AVEC GARANTIE",137 000 DH,2025-02-27 23:43:42,N/A,N/A,N/A,EUROPELLES,"Engins BTP, à vendre",Sidi Moumen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,42_MINI_PELLE_NEUV_19T_AVEC_GARANTIE
43,Mercedes-Benz 220,105 000 DH,2025-02-27 23:48:42,2006,Diesel,Manuelle,mohammed aissa,"Voitures d'occasion, à vendre",Hay Nahda,200 000 - 249 999,Mercedes-Benz,220,5,Dédouanée,Non,9 CV,Très bon,"ABS, CD/MP3/Bluetooth, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Verrouillage Centralisé À Distance, Vitres Électriques",Rabat,43_Mercedes-Benz_220
44,Volkswagen Jetta,77 000 DH,2025-02-27 23:48:42,2007,Diesel,Manuelle,omaima ACH,"Voitures d'occasion, à vendre",Toute la ville,100 000 - 109 999,Volkswagen,Jetta,N/A,N/A,N/A,8 CV,Excellent,N/A,Fnideq,44_Volkswagen_Jetta
45,Ninebot f2 pro neuf,5 500 DH,2025-02-27 23:47:42,N/A,N/A,N/A,Mustapha,"Vélos, à vendre",Hay Karima,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Salé,45_Ninebot_f2_pro_neuf
46,motor mzyan,Prix non spécifié,2025-02-27 23:47:42,2024,N/A,N/A,I Izzyx,"Motos, à vendre",Autre secteur,N/A,N/A,N/A,N/A,WW au Maroc,Oui,N/A,Neuf,Antivol,Casablanca,46_motor_mzyan
47,Peugeot 208 a louer,Prix non spécifié,2025-02-27 23:42:42,N/A,N/A,N/A,vog car,"Voitures de location, à louer",2 Mars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,47_Peugeot_208_a_louer
48,Citroën Berlingo XTR,125 000 DH,2025-02-27 23:47:42,2014,Diesel,Automatique,anwar,"Voitures d'occasion, à vendre",Toute la ville,250 000 - 299 999,Citroen,Berlingo,5,Importée neuve,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes Aluminium, Limiteur De Vitesse, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Al Hoceima,48_Citroën_Berlingo_XTR
49,Peugeot 407,27 000 DH,2025-02-27 23:47:43,2006,Essence,Manuelle,new user,"Voitures d'occasion, à vendre",El Haouzia,200 000 - 249 999,Peugeot,407,5,WW au Maroc,Non,11 CV,Très bon,"ABS, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Verrouillage Centralisé À Distance",Kénitra,49_Peugeot_407
50,Renault Express,170 000 DH,2025-02-27 23:46:43,2023,Diesel,Manuelle,Hassan,"Voitures d'occasion, à vendre",Riviera,50 000 - 54 999,Renault,Express,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,50_Renault_Express
